(8,1)  0.0468114 0.0265971 0.0135796 0.00695158
(8,2)  0.331297 0.07874 0.154468 0.0230717
(8,3)  0.76058 0.167163 0.448789 0.0540122
(8,4)  0.867256 0.201257 0.587126 0.069408
(8,5)  0.589247 0.171862 0.420605 0.0672676
(8,6)  0.419697 0.143384 0.190975 0.0462021
(8,7)  0.403901 0.148123 0.166797 0.0625012
(8,8)  0.343745 0.140597 0.138074 0.0621297
(8,9)  0.287694 0.117778 0.129308 0.0474757
(9,1)  0.0671337 0.0359175 0.0155756 0.0102884
(9,2)  0.735144 0.137974 0.477914 0.0576109
(9,3)  3.0998 0.435362 2.46902 0.203952
(9,4)  4.17094 0.560549 3.4359 0.21439
(9,5)  3.23238 0.58095 2.74336 0.218571
(9,6)  2.09984 0.493524 2.07644 0.236287
(9,7)  1.50888 0.442618 0.816594 0.207194
(9,8)  1.56714 0.50583 0.687961 0.223072
(9,9)  1.43005 0.489884 0.615671 0.208664
(10,1)  0.0948715 0.0502579 0.0180629 0.0103385
(10,2)  2.21466 0.266616 2.58515 0.122518
(10,3)  10.122 0.964781 7.9829 0.492431
(10,4)  16.8397 1.65263 13.1601 0.720413
(10,5)  16.3455 2.05219 16.419 1.08307
(10,6)  11.7096 2.03995 12.1046 1.0879
(10,7)  8.0322 2.12591 6.42273 1.33241
(10,8)  5.44063 1.53737 3.7787 0.971946
(10,9)  5.22341 1.59117 3.33773 0.866259
